"Year","Lat","Lon","Abundance","Swept","Pred_TF"
0,40.888667,-67.1715,0,0.0405,FALSE
0,40.9235,-67.234833,0,0.0405,FALSE
0,40.7285,-67.473,0,0.0405,FALSE
0,40.514833,-67.600667,0,0.0405,FALSE
0,40.675833,-67.621167,0,0.0405,FALSE
0,40.69,-67.671333,0,0.0405,FALSE
0,40.799667,-67.873333,0,0.0405,FALSE
0,41.138167,-67.980833,0,0.0405,FALSE
0,41.342833,-67.5945,0,0.0405,FALSE
0,41.420833,-67.5765,0,0.0405,FALSE
0,41.640333,-67.596833,0,0.0405,FALSE
0,41.522167,-67.816167,0,0.0405,FALSE
0,41.47,-68.264333,0,0.0405,FALSE
0,41.320167,-68.589,0,0.0405,FALSE
0,41.3075,-68.272,0,0.0405,FALSE
0,41.2885,-68.120667,0,0.0405,FALSE
0,41.227333,-68.401,0,0.0405,FALSE
0,40.931,-68.817,0,0.0405,FALSE
0,40.849333,-68.335667,0,0.0405,FALSE
0,40.700333,-68.284833,0,0.0405,FALSE
0,40.452333,-68.438,0,0.0405,FALSE
0,40.395667,-68.588667,0,0.0405,FALSE
0,40.2745,-68.538667,0,0.0405,FALSE
0,40.377333,-68.647667,0,0.0405,FALSE
0,40.231167,-68.820667,0,0.0405,FALSE
0,40.147,-68.979,0,0.0405,FALSE
0,40.339,-68.885167,0,0.0405,FALSE
0,40.6305,-68.7535,0,0.0405,FALSE
0,40.637833,-68.755833,0,0.0405,FALSE
0,40.638,-69.235333,0,0.0405,FALSE
0,40.531833,-69.252333,0,0.0405,FALSE
0,40.280833,-69.313833,0,0.0405,FALSE
0,40.110667,-69.475167,0,0.0405,FALSE
0,40.013,-69.577333,0,0.0405,FALSE
0,40.212,-69.675833,0,0.0405,FALSE
0,39.972167,-69.865167,0,0.0405,FALSE
0,40.069833,-69.974167,0,0.0405,FALSE
0,40.628833,-69.977167,0,0.0405,FALSE
0,40.850667,-69.549167,0,0.0405,FALSE
0,40.765667,-69.619167,0,0.0405,FALSE
0,40.747667,-69.5055,0,0.0405,FALSE
