"","Index_Region","Time","Category","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Km2","Total_Estimate","Proportion","Proportion_SD","Total_density_Estimate","All_density_SD","CA_density_Estimate","CA_density_SD","ProportionalDensity","ProportionalDensity_SD"
"72","BOF",23,1,44226.4682784381,17458.0857985712,23-05-05,1997,"Fall",8,14804.1704405933,948405.907526057,4.7,1.8,1.11238190108924,0.0204765264702447,2.98743306529141,1.17926808993639,268.6,106
"73","BOF",87,1,95515.8589902251,28198.5838243779,87-06-02,2019,"Spring",30,14804.1704405933,3206348.41745718,3,0.9,3.76071460527834,0.0330740182380444,6.45195618177422,1.90477297850185,171.6,50.6
"74","BOF",96,1,138639.414025913,58112.8332013153,97-06-22,2022,"Summer",33,14804.1704405933,3192732.56535351,4.3,1.8,3.74474462098381,0.0681603344740712,9.36488907515958,3.92543664871413,250.1,104.8
"75","BOF",17,1,33594.9136351205,13378.358817136,17-07-27,1995,"Fall",6,14804.1704405933,829269.241182706,4.1,1.6,0.972646930709157,0.0156914292671156,2.26928714242594,0.903688516071948,233.3,92.9
"76","BOF",71,1,188895.347283169,55680.3233627477,71-06-05,2013,"Fall",24,14804.1704405933,2747745.3189566,6.9,2,3.22282066924602,0.0653072523737051,12.7596036563599,3.76112417687865,395.9,116.7
"77","BOF",18,1,50899.1366807522,18742.9156308485,18-06-18,1996,"Spring",7,14804.1704405933,1081154.77874673,4.7,1.7,1.2680825779451,0.021983498790918,3.43816202907161,1.26605646064808,271.1,99.8
"78","BOF",82,1,107917.034598915,29567.264310185,82-07-22,2017,"Summer",28,14804.1704405933,2690044.86135681,4,1.1,3.15514400864192,0.0346793386907156,7.28963740534931,1.99722533787581,231,63.3
"79","BOF",64,1,234379.613156743,61877.2637069938,64-07-30,2011,"Summer",22,14804.1704405933,4105978.90216979,5.7,1.5,4.81588798718281,0.0725756215670715,15.8319991043922,4.17971840808623,328.7,86.8
"80","BOF",11,1,33732.0241006707,13393.3245311683,11-05-03,1993,"Fall",4,14804.1704405933,799015.683221875,4.2,1.7,0.937162640647142,0.0157089824996444,2.27854875327407,0.904699428104634,243.1,96.5
"81","BOF",28,1,38204.5278383746,13871.5996712586,28-05-21,1999,"Summer",10,14804.1704405933,695745.841730071,5.5,2,0.816037812456759,0.0162699497029858,2.58065982093918,0.93700621233206,316.2,114.8
"82","BOF",21,1,52868.9523637603,20686.4773379593,21-05-08,1997,"Spring",8,14804.1704405933,1296427.04242956,4.1,1.6,1.52057464703389,0.0242630953744944,3.5712201893321,1.39734120334339,234.9,91.9
"83","BOF",101,1,145967.108403361,69259.9638805502,101-06-06,2023,"Fall",34,14804.1704405933,2911807.55547227,5,2.4,3.41524868040035,0.0812347642285241,9.85986408283417,4.67840897661095,288.7,137
"84","BOF",32,1,37261.4385500292,14335.8490868199,32-06-05,2000,"Fall",11,14804.1704405933,710522.266087594,5.2,2,0.833369027802095,0.0168144661841291,2.51695552273957,0.968365579439068,302,116.2
"85","BOF",41,1,49983.0080246048,18579.4127470081,41-06-19,2003,"Fall",14,14804.1704405933,892960.571906533,5.6,2.1,1.04735026500015,0.0217917268425183,3.37627888203384,1.25501208065418,322.4,119.8
"86","BOF",7,1,56421.2486606886,21048.4996395163,7-05-20,1992,"Summer",3,14804.1704405933,1063044.7697835,5.3,2,1.2468414131238,0.0246877100387927,3.81117259404016,1.42179527883581,305.7,114
"87","BOF",24,1,54312.6078129996,20393.5845081961,24-06-08,1998,"Spring",9,14804.1704405933,993897.606645357,5.5,2.1,1.1657389524831,0.0239195624207223,3.6687369975202,1.37755672227851,314.7,118.2
"88","BOF",88,1,121990.274204898,41652.2775955883,88-05-02,2019,"Summer",30,14804.1704405933,2416106.76495702,5,1.7,2.83384299392255,0.0488538076036862,8.24026409952688,2.81355026022782,290.8,99.3
"89","BOF",97,1,147426.88119057,66151.671404673,96-07-05,2022,"Spring",33,14804.1704405933,3650326.3735545,4,1.8,4.28145476402908,0.0775890590868544,9.95846959356284,4.46844837879493,232.6,104.4
