"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"141",46,1,"Canada",1185502.85090549,192329.429828871,46-07-20,2005,"Summer",16
"142",47,1,"All",1151218.19394259,191450.84766108,47-06-30,2005,"Fall",16
"143",47,1,"USA",75777.081797256,20590.4052835967,47-07-04,2005,"Fall",16
"144",47,1,"Canada",1075441.11214533,186993.656074976,47-07-27,2005,"Fall",16
"145",48,1,"All",1728925.94562748,248861.495118882,48-06-14,2006,"Spring",17
"146",48,1,"USA",135794.709411356,31649.018154656,48-06-19,2006,"Spring",17
"147",48,1,"Canada",1593131.23621613,242918.683080047,48-06-28,2006,"Spring",17
"148",49,1,"All",1321458.31626725,217946.424820252,49-05-08,2006,"Summer",17
"149",49,1,"USA",95586.689799037,29999.7339185873,49-05-11,2006,"Summer",17
"150",49,1,"Canada",1225871.62646822,209335.692987145,49-07-15,2006,"Summer",17
"151",50,1,"All",1276278.01705688,213332.166818543,50-07-21,2006,"Fall",17
"152",50,1,"USA",88624.3886678479,23473.1492820249,50-06-11,2006,"Fall",17
"153",50,1,"Canada",1187653.62838904,208436.293269987,50-05-10,2006,"Fall",17
"154",51,1,"All",1702878.11438432,273476.92389164,52-05-14,2007,"Summer",18
"155",51,1,"USA",117540.376762625,29755.6760022575,52-06-06,2007,"Summer",18
"156",51,1,"Canada",1585337.73762169,267411.320664499,52-05-13,2007,"Summer",18
"157",52,1,"All",1656839.53213673,268607.991953072,51-05-30,2007,"Spring",18
"158",52,1,"USA",116696.300438693,34824.8157436143,51-06-03,2007,"Spring",18
"159",52,1,"Canada",1540143.23169804,259051.657208942,51-06-16,2007,"Spring",18
"160",53,1,"All",1429445.45039286,240531.559616877,53-06-04,2007,"Fall",18
"161",53,1,"USA",93654.4161034995,23729.3202860142,53-07-27,2007,"Fall",18
"162",53,1,"Canada",1335791.03428936,235754.44854028,53-05-31,2007,"Fall",18
"163",54,1,"All",2011122.58008859,319874.20435391,54-05-08,2008,"Spring",19
"164",54,1,"USA",156359.062509182,38239.7789533972,54-06-19,2008,"Spring",19
"165",54,1,"Canada",1854763.51757941,311832.636631141,54-05-17,2008,"Spring",19
"166",55,1,"All",1905127.07756994,305707.950756859,55-06-14,2008,"Summer",19
"167",55,1,"USA",154564.836658068,47689.9534284972,55-06-25,2008,"Summer",19
"168",55,1,"Canada",1750562.24091188,293362.086490748,55-07-09,2008,"Summer",19
"169",56,1,"All",1803072.99043735,292177.341550068,56-06-17,2008,"Fall",19
