"","Index_Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"34","Nantucket","1990-2005","Year",-0.0374643442712702,0.0051486258844229,-7.27657147990069,4.05365267319733e-06,-0.0485070485292494,-0.0264216400132909
"35","Nantucket","2006-2023","(Intercept)",-38.15620286541,6.75204799401656,-5.65105622756574,3.61120626584046e-05,-52.469905188522,-23.8425005422981
"36","Nantucket","2006-2023","Year",0.0209697621138586,0.00335171288268072,6.25643151661812,1.1459049098769e-05,0.0138644482123956,0.0280750760153216
"37","Georges","1990-2005","(Intercept)",50.9706315926105,14.2040904281529,3.58844741593487,0.0029656969486525,20.5058875283274,81.4353756568935
"38","Georges","1990-2005","Year",-0.0234699406013751,0.00711091494577602,-3.30055144525621,0.00525651481728653,-0.0387213363159912,-0.00821854488675889
"39","Georges","2006-2023","(Intercept)",-2.56422185447031,7.23852434829348,-0.354246491562171,0.72777962684135,-17.9092079789597,12.7807642700191
"40","Georges","2006-2023","Year",0.00340244743989763,0.00359319947536999,0.946913040375328,0.357765879271303,-0.00421479516909824,0.0110196900488935
"41","Sable","1990-2005","(Intercept)",24.4292538680317,10.2894062567492,2.37421414398987,0.03242976286919,2.36067230197792,46.4978354340855
"42","Sable","1990-2005","Year",-0.00957578758826524,0.00515112833900718,-1.85896894001885,0.0841781218983326,-0.020623859077524,0.0014722839009935
"43","Sable","2006-2023","(Intercept)",-13.9237173125621,7.34983613989155,-1.8944255419506,0.0763895348824423,-29.5046738939261,1.65723926880186
"44","Sable","2006-2023","Year",0.00967642848370373,0.00364845458703746,2.65219924021611,0.017390989318627,0.00194205027067492,0.0174108066967325
"45","GBTail","1990-2005","(Intercept)",12.4584025404644,13.983282693023,0.89094977295142,0.388011627472678,-17.5327560329228,42.4495611138515
"46","GBTail","1990-2005","Year",-0.00419851758375173,0.00700037319501624,-0.599756251101124,0.558251516717282,-0.0192128248228792,0.0108157896553757
"47","GBTail","2006-2023","(Intercept)",-108.388459722598,30.9855751107723,-3.49802962620874,0.00297590668025842,-174.074944599342,-42.7019748458534
"48","GBTail","2006-2023","Year",0.0561455928523155,0.015381222314782,3.65026860045818,0.00215749254608575,0.0235388581587088,0.0887523275459221
