"Year","Season","Stratum","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
2001,"Fall","USA",-68.438827976706,43.4794500144479,43.9165864225712,-68.3518390156365,41.2013700446571,-70.0312492847918,44.2566730111072,-67.437642906261
2001,"Spring","Canada",-61.34644253613,44.0047382476618,43.6477844561215,-61.4521208708932,42.4308059463852,-66.7278730670292,46.9905992629118,-52.8033593913449
2001,"Spring","USA",-68.4949087893177,43.4435139228866,43.884642179298,-68.4449024540842,41.2031332967381,-70.0311587958048,44.2562742282782,-67.4632928793081
2001,"Summer","Canada",-62.3646921665129,43.8497057668622,43.3529195271135,-62.7219453893285,42.4071772697494,-66.7211746785526,47.1567586184445,-56.1868081632206
2001,"Summer","USA",-68.484396993372,43.414408414453,43.884642179298,-68.3518390156365,41.1319345617033,-70.0312574042717,44.2563993534337,-67.4381411707616
2002,"Fall","Canada",-61.2163858689777,44.0000730093257,43.7886361683024,-61.5365919831884,42.4074600218614,-66.7123182755117,47.1584949464642,-51.8808918255383
2002,"Fall","USA",-68.4996613098337,43.3755775734181,43.7270355196086,-68.5283184971604,41.135327299799,-70.0851524096535,44.2565737654499,-67.4366519021074
2002,"Spring","Canada",-61.4420640338148,43.9188578150787,43.6477844561215,-62.0850976578281,42.4093153995698,-66.6758968900251,46.9556653057742,-52.4834030904622
2002,"Spring","USA",-68.4768464872568,43.3524569482297,43.757152453289,-68.3518390156365,40.9462303037647,-70.0911549027019,44.2565530298583,-67.4366679300485
2002,"Summer","Canada",-61.6300180414213,43.9302704631521,43.5003947178517,-61.7418972041287,42.4099453772542,-66.6829055033576,46.9639817089902,-54.2900011493756
2002,"Summer","USA",-68.503304456789,43.3489802067157,43.757152453289,-68.4991636617457,40.9588676351754,-70.0920544634455,44.2564670812695,-67.4365128603352
2003,"Fall","Canada",-61.2858904056346,43.98443676608,43.7395572478361,-61.4686266179469,42.4311897463978,-66.6973585713917,46.9698512811123,-52.4188008100796
2003,"Fall","USA",-68.4080630818622,43.602692686792,43.9165864225712,-68.3518390156365,41.6096834263159,-69.9553079326741,44.2563836791943,-67.4730198980913
2003,"Spring","Canada",-62.2697708006278,43.8273407105922,43.5019195519284,-62.6796956012579,42.4074128583926,-66.763908620741,46.7392571361682,-54.9214245024429
2003,"Spring","USA",-68.3535369100218,43.5040799838477,43.9165864225712,-68.3095205941739,41.3397682242646,-70.031076554225,44.257046201321,-67.4366076452732
2003,"Summer","Canada",-61.539727066746,44.0341539390376,43.7261316421547,-61.8682624101155,42.4311030435355,-66.754820752957,47.1886853739612,-52.1806414525197
2003,"Summer","USA",-68.4909637734207,43.4084709055033,43.884642179298,-68.3518390156365,41.1444004064639,-70.0854882068038,44.2564467640983,-67.4378862840875
2004,"Fall","Canada",-61.4392766173145,43.9476560848103,43.6477844561215,-61.5365919831884,42.409162811816,-66.7153954535146,46.7648197916812,-52.4821789146824
2004,"Fall","USA",-68.490052961305,43.587514679612,43.9165864225712,-68.5707389807383,41.6501073424071,-69.8280783399777,44.2561424996081,-67.4730046205189
2004,"Spring","Canada",-61.5420182918024,44.0242354993782,43.7118732600672,-62.0850976578281,42.407881252335,-66.74697119275,47.1881099096187,-52.0503697711365
2004,"Spring","USA",-68.4921192074576,43.4392496518492,43.7270355196086,-68.3518390156365,41.3962894119266,-70.031216905153,44.2564297792619,-67.4376602111372
2004,"Summer","Canada",-61.7283942122471,43.9200351969161,43.5777358118476,-62.0113315055629,42.4308315644174,-66.7547138771797,46.9641539932594,-52.4837660762026
2004,"Summer","USA",-68.544875470694,43.4178861167731,43.7864722131965,-68.6136429203861,41.1990761128758,-70.0934388913634,44.2560068423753,-67.4718585898141
2005,"Fall","Canada",-62.0728455693634,43.8812589168387,43.4877716886565,-62.3731300161606,42.4075929060032,-66.7599456053705,46.7238790767691,-53.183413198481
2005,"Fall","USA",-68.504413248501,43.425282753776,43.757152453289,-68.5283184971604,41.3598489711748,-70.1000419195053,44.2564277054159,-67.4369478414637
2005,"Spring","Canada",-62.0910734060144,43.8396015961592,43.6089349267247,-62.3731300161606,42.4069210459766,-66.7597745022031,46.0766994056645,-53.9754572478138
2005,"Spring","USA",-68.4634312712856,43.4600241898042,43.757152453289,-68.4991636617457,41.3857306816858,-70.0310399152306,44.2568134790191,-67.4367826489706
2005,"Summer","Canada",-62.7122900891687,43.6367097279218,43.2487974030301,-64.2352253389608,42.3753317241098,-66.7163037210483,46.5391846007669,-56.1824377081748
2005,"Summer","USA",-68.5149898031238,43.3989499393772,43.7270355196086,-68.5707389807383,41.1799567223105,-70.1028015388235,44.2564902190989,-67.4372868240851
2006,"Fall","Canada",-61.4570305964007,43.9551303300608,43.6477844561215,-61.759329923165,42.4079844241146,-66.7177984357697,46.9460275001189,-52.0979797281729
2006,"Fall","USA",-68.4512075340853,43.4857227400613,43.884642179298,-68.3518390156365,41.3628040610819,-70.0936439100288,44.2564549813554,-67.437712280518
2006,"Spring","Canada",-61.950169196695,43.8956975678581,43.6641186526927,-61.5365919831884,42.4314158409196,-66.7498792532808,46.2964252977091,-57.4550861728027
2006,"Spring","USA",-68.3471453606137,43.5248963903996,43.9165864225712,-68.3095205941739,41.204922199684,-69.9866417457581,44.2564947266703,-67.435412426541
2006,"Summer","Canada",-61.9615970837933,43.8674211641554,43.4259208499538,-62.3731300161606,42.4067640578559,-66.694362765687,46.98335296422,-53.3761434017352
2006,"Summer","USA",-68.4961317901467,43.4112289306903,43.884642179298,-68.3518390156365,41.1803936768318,-70.1024449475529,44.2563099389298,-67.4370500265837
