"","quantile","time","axis","Units","value","Season","YearGroup","Year"
"221","quantile_0.5",74,"km_E","Estimate",238.883128441447,"Summer",25,2014
"222","quantile_0.95",74,"km_E","Estimate",1013.88312844145,"Summer",25,2014
"223","quantile_0.05",75,"km_E","Estimate",-436.116871558553,"Fall",25,2014
"224","quantile_0.5",75,"km_E","Estimate",238.883128441447,"Fall",25,2014
"225","quantile_0.95",75,"km_E","Estimate",913.883128441447,"Fall",25,2014
"226","quantile_0.05",76,"km_E","Estimate",-336.116871558553,"Spring",26,2015
"227","quantile_0.5",76,"km_E","Estimate",188.883128441448,"Spring",26,2015
"228","quantile_0.95",76,"km_E","Estimate",913.883128441447,"Spring",26,2015
"229","quantile_0.05",77,"km_E","Estimate",-361.116871558554,"Summer",26,2015
"230","quantile_0.5",77,"km_E","Estimate",63.8831284414474,"Summer",26,2015
"231","quantile_0.95",77,"km_E","Estimate",1013.88312844145,"Summer",26,2015
"232","quantile_0.05",78,"km_E","Estimate",-436.116871558553,"Fall",26,2015
"233","quantile_0.5",78,"km_E","Estimate",188.883128441447,"Fall",26,2015
"234","quantile_0.95",78,"km_E","Estimate",1013.88312844145,"Fall",26,2015
"235","quantile_0.05",79,"km_E","Estimate",-361.116871558553,"Spring",27,2016
"236","quantile_0.5",79,"km_E","Estimate",163.883128441447,"Spring",27,2016
"237","quantile_0.95",79,"km_E","Estimate",988.883128441447,"Spring",27,2016
"238","quantile_0.05",80,"km_E","Estimate",-436.116871558553,"Summer",27,2016
"239","quantile_0.5",80,"km_E","Estimate",138.883128441447,"Summer",27,2016
"240","quantile_0.95",80,"km_E","Estimate",738.883128441447,"Summer",27,2016
"241","quantile_0.05",81,"km_E","Estimate",-361.116871558553,"Fall",27,2016
"242","quantile_0.5",81,"km_E","Estimate",138.883128441447,"Fall",27,2016
"243","quantile_0.95",81,"km_E","Estimate",1038.88312844145,"Fall",27,2016
"244","quantile_0.05",82,"km_E","Estimate",-336.116871558553,"Spring",28,2017
"245","quantile_0.5",82,"km_E","Estimate",163.883128441447,"Spring",28,2017
"246","quantile_0.95",82,"km_E","Estimate",1063.88312844145,"Spring",28,2017
"247","quantile_0.05",83,"km_E","Estimate",-436.116871558553,"Summer",28,2017
"248","quantile_0.5",83,"km_E","Estimate",138.883128441448,"Summer",28,2017
"249","quantile_0.95",83,"km_E","Estimate",938.883128441447,"Summer",28,2017
"250","quantile_0.05",84,"km_E","Estimate",-336.116871558553,"Fall",28,2017
"251","quantile_0.5",84,"km_E","Estimate",138.883128441447,"Fall",28,2017
"252","quantile_0.95",84,"km_E","Estimate",988.883128441447,"Fall",28,2017
"253","quantile_0.05",85,"km_E","Estimate",-336.116871558553,"Spring",29,2018
"254","quantile_0.5",85,"km_E","Estimate",88.8831284414475,"Spring",29,2018
"255","quantile_0.95",85,"km_E","Estimate",988.883128441447,"Spring",29,2018
"256","quantile_0.05",86,"km_E","Estimate",-411.116871558553,"Summer",29,2018
"257","quantile_0.5",86,"km_E","Estimate",263.883128441447,"Summer",29,2018
"258","quantile_0.95",86,"km_E","Estimate",1038.88312844145,"Summer",29,2018
"259","quantile_0.05",87,"km_E","Estimate",-286.116871558554,"Fall",29,2018
"260","quantile_0.5",87,"km_E","Estimate",288.883128441447,"Fall",29,2018
"261","quantile_0.95",87,"km_E","Estimate",1038.88312844145,"Fall",29,2018
"262","quantile_0.05",88,"km_E","Estimate",-411.116871558553,"Spring",30,2019
"263","quantile_0.5",88,"km_E","Estimate",263.883128441447,"Spring",30,2019
"264","quantile_0.95",88,"km_E","Estimate",1013.88312844145,"Spring",30,2019
