"Year","Season","Stratum","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
2011,"Summer","Gully",625.17289205042,623.683395095677,520.222808744813,768.002184533626
2011,"Summer","HaliChan",949.570340638657,949.57711507666,858.976671212175,1041.00639276238
2011,"Summer","Nantucket",210.661420300806,201.921503431024,307.025072767471,150.29050938262
2011,"Summer","Sable",478.642570469533,488.678559167178,370.882258205194,585.709162735222
2012,"Fall","BOF",55.3221703930976,67.5271009753516,15.7267019664846,122.962741869349
2012,"Fall","Browns",144.43993234343,146.789572677326,40.0881987119056,236.824384688525
2012,"Fall","CapeBreton",622.945844149302,610.536391198152,545.954636833228,708.999226735118
2012,"Fall","CapeCod",179.799699415774,187.262917153339,256.528556729397,141.526592056525
2012,"Fall","EGOM",68.0749572842053,78.3415267640854,123.224039247606,15.1324520056392
2012,"Fall","GBTail",1346.38035682371,1352.97871083517,1198.79648438551,1450.9845518129
2012,"Fall","Georges",32.4082884373772,42.3500034415901,86.0630819224064,99.8270147249664
2012,"Fall","GrandBanks",1118.37474383823,1106.16311536625,1007.59194869342,1223.99499716712
2012,"Fall","Gully",647.505408492768,652.502681208979,520.47761527329,802.716741305126
2012,"Fall","HaliChan",946.295096724662,929.020322740674,853.241321350541,1038.44018857358
2012,"Fall","Nantucket",199.958137665019,187.529847377871,297.83139205083,149.997856989243
2012,"Fall","Sable",481.964789268754,481.227085426154,358.015956379683,594.865954441183
2012,"Spring","BOF",53.1899414718208,66.0140960823775,9.9735085185583,125.640850028026
2012,"Spring","Browns",157.239496169576,165.687384729359,55.0269101199261,241.474885367503
2012,"Spring","CapeBreton",620.790985514113,609.810769274042,546.19941085056,708.764096739338
2012,"Spring","CapeCod",183.829410865351,187.262917153339,251.930017523385,144.673565593343
2012,"Spring","EGOM",80.590363997239,94.2830670948484,131.869889773146,16.6043452362133
2012,"Spring","GBTail",1356.99077823879,1358.80080966581,1222.52986966605,1452.97496711658
2012,"Spring","Georges",29.7751814051331,41.409921885479,86.9967330375771,99.0065331985123
2012,"Spring","GrandBanks",1111.52647479006,1112.17103662867,1013.00648406795,1210.48110276143
2012,"Spring","Gully",651.973304800477,653.753139106234,522.236179405597,803.783171138511
2012,"Spring","HaliChan",960.509641957731,936.557919236784,851.809253979138,1077.19296209393
2012,"Spring","Nantucket",207.512005469398,199.532763427586,306.199807389109,149.802168982676
2012,"Spring","Sable",476.109444365457,469.27950115522,346.60829158984,594.756002908206
2012,"Summer","BOF",55.9015728652011,69.1131657577594,20.3643003070647,101.25331739226
2012,"Summer","Browns",148.508816782949,147.293403146513,49.8231360995867,235.105248089976
2012,"Summer","CapeBreton",627.907481423268,632.687679008171,546.218249014274,729.880092702068
2012,"Summer","CapeCod",183.014226048175,186.5713829961,258.365197858158,142.512685053282
2012,"Summer","EGOM",74.6069627063313,77.3316203057682,124.346711498587,16.8676293147502
2012,"Summer","GBTail",1336.0485539357,1326.73625185774,1200.62742707239,1446.57050485043
2012,"Summer","Georges",24.0089530994236,41.409921885479,92.1475568854944,98.9285284732258
2012,"Summer","GrandBanks",1120.72664011541,1105.45290093256,1006.78258181008,1235.64275263245
2012,"Summer","Gully",642.564688018694,638.550871110046,520.331846128215,803.859208031493
2012,"Summer","HaliChan",944.591434241565,929.080460253497,854.832431935407,1031.62498817061
2012,"Summer","Nantucket",210.725594135983,201.921503431024,307.266025538321,150.294145595892
2012,"Summer","Sable",501.786331187741,519.490915887246,373.289893203031,594.881431644687
2013,"Fall","BOF",57.858208433952,70.7634961229582,18.9819373536122,124.647094670943
2013,"Fall","Browns",149.144604183282,147.293403146513,45.3897559513167,237.071857664897
2013,"Fall","CapeBreton",620.632476457127,609.954112038153,545.839280846753,708.981590964772
2013,"Fall","CapeCod",181.139198726547,186.583584399921,259.855250752525,141.587064537773
2013,"Fall","EGOM",69.0283634424362,78.3415267640854,122.398149327112,15.4096358391116
2013,"Fall","GBTail",1349.13914608829,1358.80080966581,1198.65901203459,1449.92059537925
2013,"Fall","Georges",29.3343466829661,42.3500034415901,87.0277044305432,99.6068051642648
2013,"Fall","GrandBanks",1111.27360299161,1111.72903463168,1001.70953409373,1222.16020525179
2013,"Fall","Gully",652.806250110049,671.7446158087,520.526512095503,803.738874883274
2013,"Fall","HaliChan",958.066682552657,949.308137146122,859.132704890474,1073.52679978952
2013,"Fall","Nantucket",210.822945344856,201.921503431024,313.173025816069,150.309469772162
2013,"Fall","Sable",475.436448061936,469.27950115522,347.615895397238,594.724396798667
2013,"Spring","BOF",52.7099041934345,55.1117052571816,12.4831484898442,134.377437132644
2013,"Spring","Browns",155.018954018615,152.163048950774,46.7038235895341,243.070328921889
2013,"Spring","CapeBreton",620.510649274256,609.954112038153,546.274128075885,719.543077235934
2013,"Spring","CapeCod",180.681234435666,186.70752854484,261.496017626475,136.916826596859
2013,"Spring","EGOM",74.5723993750168,77.3316203057682,121.609689912136,15.5851517142403
2013,"Spring","GBTail",1348.38772460352,1352.97871083517,1205.90415338819,1447.39824933274
2013,"Spring","Georges",35.0559242636402,50.1593225696908,87.8821304192746,99.0068314477071
2013,"Spring","GrandBanks",1112.92392969641,1105.45290093256,1009.04147055365,1219.79639953297
2013,"Spring","Gully",657.906173271763,671.7446158087,523.577255237275,804.053668654967
2013,"Spring","HaliChan",953.323767004539,949.258023508145,840.316362260491,1078.49677862357
2013,"Spring","Nantucket",209.793754593258,201.921503431024,314.267250294579,149.742192267541
2013,"Spring","Sable",467.874914188795,454.829718196498,345.981521304136,594.293039735667
2013,"Summer","BOF",54.3913742797626,57.709782261029,18.95715730874,125.561700151165
2013,"Summer","Browns",143.127276780172,145.609403000823,47.1314977223904,236.089527609491
2013,"Summer","CapeBreton",617.774476652421,613.214031672922,545.716755501585,709.077183307073
2013,"Summer","CapeCod",181.23046182531,186.583584399921,260.824683796964,140.166419524307
2013,"Summer","EGOM",71.8234265563045,77.3316203057682,122.755224074725,15.7459871377104
2013,"Summer","GBTail",1342.38197153421,1351.20478226351,1199.24533788094,1448.59492516054
2013,"Summer","Georges",27.0270618487797,42.3500034415901,91.1184686598954,98.6135398884276
2013,"Summer","GrandBanks",1111.16227214973,1111.55477415256,1002.59068151747,1231.60129786544
