"Year","Season","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
2009,"Summer",374.861342685202,415.873518060252,50.8878929197829,1118.83995782547
2010,"Fall",400.607976798659,375.871219076366,73.0721548716142,1190.8891905483
2010,"Spring",407.004729272799,395.439443948949,87.6055861113661,1260.08692134586
2010,"Summer",371.106423497841,341.098053328966,52.1228533910137,1145.72320291024
2011,"Fall",421.016748240186,496.280812218343,73.3209319069506,1193.6787906147
2011,"Spring",443.312080389132,497.176032351695,72.5774931075965,1234.81465291471
2011,"Summer",356.636980907073,375.061667825869,8.15334176081879,857.10677725751
2012,"Fall",434.825436215136,518.343006647688,21.8445673442158,1233.19569543246
2012,"Spring",432.16571869687,397.802025685807,90.4922984649193,1381.05258284583
2012,"Summer",365.111947064872,346.889853901399,69.4665992681593,1030.4764939729
2013,"Fall",504.923600631184,590.252288645953,18.6615455061325,1288.62705545079
2013,"Spring",453.599508236528,516.347161029356,71.5202787853331,1219.66204609421
2013,"Summer",449.37533572373,441.387938801171,60.3796546350407,1241.67073286911
2014,"Fall",516.034854233828,615.876495133553,5.53213411186811,1247.43186484946
2014,"Spring",453.52238888701,436.052949730551,21.6871894230067,1188.24960252533
2014,"Summer",510.250315467999,604.225107432747,17.765365407734,1266.68063602886
2015,"Fall",520.550990106948,613.692286264536,21.3737675238125,1278.86266017824
2015,"Spring",491.870047402496,569.000316628617,3.93206249587534,1241.02773085155
2015,"Summer",430.941384809589,432.712883196671,14.1180646694348,1212.92813837376
2016,"Fall",527.900928736005,608.474761675417,34.903244306797,1324.34568658582
2016,"Spring",611.468243829381,594.488684742666,2.70604883958999,1304.65776342628
2016,"Summer",428.262245431371,434.850244250146,2.71123373091363,984.267151271014
2017,"Fall",646.057114156606,630.292141816519,37.8923590474532,1291.11074469601
2017,"Spring",636.554705705251,608.76910959269,29.828007565453,1494.79425205987
