"Year","Season","Stratum","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
1994,"Fall","USA",125.077882159268,120.25267,43.5065747227482,207.482766462702,"Before Warming"
1994,"Spring","Canada",348.63063930493,149.37518,76.6939822110117,1316.66760945173,"Before Warming"
1994,"Spring","USA",125.467810691997,120.74826,43.5138434913377,212.812881104011,"Before Warming"
1994,"Summer","Canada",337.589643548858,149.05865,66.6341429298201,1320.15902115024,"Before Warming"
1994,"Summer","USA",122.759449610992,119.1489,43.4300002858809,212.937687635645,"Before Warming"
1995,"Fall","Canada",343.117200449832,149.37518,65.0720334969225,1320.29844115039,"Before Warming"
1995,"Fall","USA",124.484295178322,120.25267,43.542802524522,199.793647498245,"Before Warming"
1995,"Spring","Canada",462.567897785943,166.44175,76.7465168159569,1511.89853389889,"Before Warming"
1995,"Spring","USA",121.493360888875,119.1489,38.6401405113837,212.52850233456,"Before Warming"
1995,"Summer","Canada",314.408148289201,150.3121,73.2825078073221,1246.34154201243,"Before Warming"
1995,"Summer","USA",122.519332722026,119.1489,43.4306154876056,212.858238319388,"Before Warming"
1996,"Fall","Canada",325.318825951703,148.66989,66.6438125692667,1315.96612258187,"Before Warming"
1996,"Fall","USA",126.860836915422,120.25267,49.9224747386207,212.637406127628,"Before Warming"
1996,"Spring","Canada",309.792138061966,148.71286,76.6983840268554,1279.8799562956,"Before Warming"
1996,"Spring","USA",128.093854284767,128.61068,46.0662031048875,213.278555681429,"Before Warming"
1996,"Summer","Canada",322.447020759422,149.05865,69.6363191884475,1308.45453317558,"Before Warming"
1996,"Summer","USA",123.891844335186,120.25267,43.4514430632658,207.468651891049,"Before Warming"
1997,"Fall","Canada",329.76281816518,148.2568,69.0933255466143,1312.57886355545,"Before Warming"
1997,"Fall","USA",126.515401882051,128.61068,48.5171003342538,201.480968570803,"Before Warming"
1997,"Spring","Canada",308.736434857164,149.05865,73.3305371995034,1245.79046633708,"Before Warming"
1997,"Spring","USA",132.308100591226,128.61068,54.0062911691683,219.000335151136,"Before Warming"
1997,"Summer","Canada",309.887700252137,136.68755,64.191318055166,1246.6626307761,"Before Warming"
1997,"Summer","USA",123.917370004963,120.25267,43.444504888514,201.494632431629,"Before Warming"
1998,"Fall","Canada",320.598984155165,148.2568,70.7160065735675,1312.99092557634,"Before Warming"
1998,"Fall","USA",126.587583433283,128.61068,49.9251909424553,193.43062940688,"Before Warming"
1998,"Spring","Canada",295.017233751311,144.37698,73.2819232987948,1245.94626055487,"Before Warming"
1998,"Spring","USA",129.657855750498,128.61068,48.2035016552167,212.464202282894,"Before Warming"
1998,"Summer","Canada",299.991874051636,145.75463,73.3311156595864,1307.5755751756,"Before Warming"
1998,"Summer","USA",124.03742037479,120.25267,43.4640518337031,193.449759245674,"Before Warming"
1999,"Fall","Canada",331.450837912753,148.71286,61.4211657416343,1317.2350992091,"Before Warming"
1999,"Fall","USA",124.835023984681,120.74826,43.5543633978319,194.025105955652,"Before Warming"
1999,"Spring","Canada",281.387759012592,152.49924,73.2858844682357,1240.19955736463,"Before Warming"
1999,"Spring","USA",127.916643594349,128.61068,46.0798371447331,200.86817474516,"Before Warming"
1999,"Summer","Canada",284.574408226911,145.75463,66.645454994996,1246.2671669467,"Before Warming"
1999,"Summer","USA",124.124248029011,120.25267,43.454906540604,199.540647893723,"Before Warming"
2000,"Fall","Canada",332.067703351807,145.75463,66.6180818591894,1321.69446324425,"Before Warming"
2000,"Fall","USA",123.362867943549,120.25267,36.4046297417985,193.444421794844,"Before Warming"
2000,"Spring","Canada",303.769487021979,148.71286,73.2903226757793,1246.38986821462,"Before Warming"
2000,"Spring","USA",128.342543262015,128.61068,43.4915067354086,211.253766262772,"Before Warming"
2000,"Summer","Canada",295.282059096675,133.87537,64.1422584623871,1289.26878686599,"Before Warming"
2000,"Summer","USA",123.785122643928,120.25267,40.8977789321897,194.027742039224,"Before Warming"
2001,"Fall","Canada",315.905867879694,143.70183,69.6215816148678,1312.22644867173,"Before Warming"
2001,"Fall","USA",124.108710963711,120.25267,46.031160505864,193.43819568655,"Before Warming"
2001,"Spring","Canada",339.814052540958,149.05865,69.5097107629024,1324.66111341001,"Before Warming"
2001,"Spring","USA",125.521878244785,125.87012,46.3575680876259,193.448708312144,"Before Warming"
2001,"Summer","Canada",277.747783371971,132.468,76.6160199507653,1246.29195062693,"Before Warming"
2001,"Summer","USA",123.643009433386,120.25267,41.8177041188712,193.442904861376,"Before Warming"
2002,"Fall","Canada",306.113806994911,143.65413,65.4192276663461,1246.81241517663,"Before Warming"
2002,"Fall","USA",126.317633587554,128.61068,43.5079140210361,199.549558188663,"Before Warming"
2002,"Spring","Canada",303.153093145821,146.13088,76.7264307071477,1246.26647369436,"Before Warming"
2002,"Spring","USA",126.810895512249,128.61068,46.2693436830833,200.51381340586,"Before Warming"
2002,"Summer","Canada",350.110069149372,148.71286,60.8002657276165,1456.03526148032,"Before Warming"
2002,"Summer","USA",124.859951895411,120.74826,43.4810350158757,194.025728896489,"Before Warming"
2003,"Fall","Canada",326.801116317137,144.37698,66.6261099510556,1318.59477434432,"Before Warming"
2003,"Fall","USA",123.047537483193,120.25267,48.5235572512964,193.399490305189,"Before Warming"
2003,"Spring","Canada",283.080004824814,136.68755,81.9557687323552,1245.81937701212,"Before Warming"
2003,"Spring","USA",131.598634121344,132.96301,58.456594639231,194.01407806566,"Before Warming"
2003,"Summer","Canada",315.607832705001,148.71286,69.6298929947675,1246.79918032195,"Before Warming"
2003,"Summer","USA",124.62165378634,120.74826,43.4747231137141,193.442450097946,"Before Warming"
2004,"Fall","Canada",332.229943345947,143.70183,66.6358683319751,1321.37125898985,"Before Warming"
2004,"Fall","USA",119.151213558003,111.2117,36.4024486417247,193.391610827823,"Before Warming"
2004,"Spring","Canada",287.03861791056,136.68755,69.4844155631703,1246.03088371603,"Before Warming"
2004,"Spring","USA",133.166606369615,132.96301,56.8123966440256,207.256042864127,"Before Warming"
2004,"Summer","Canada",338.703678706092,136.68755,67.451129624342,1317.86389054408,"Before Warming"
2004,"Summer","USA",123.130042843604,120.25267,36.4056252443274,193.435299495614,"Before Warming"
2005,"Fall","Canada",291.550058410793,141.74271,73.3330305422125,1246.78709206615,"Before Warming"
2005,"Fall","USA",126.781756821501,128.61068,48.3389795070267,193.452252095638,"Before Warming"
2005,"Spring","Canada",279.912317743036,136.68755,76.6350698806625,1246.27759232281,"Before Warming"
2005,"Spring","USA",131.032620042696,131.79974,46.3650907976691,200.111047624649,"Before Warming"
2005,"Summer","Canada",263.000427736324,133.87537,81.9450982574236,1215.41970767743,"Before Warming"
